Notes,County,County Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),County_Formatted,latitude,longitude
,"Ravalli County, MT",30081.0,48.4,32.07,81.98,"Ravalli County, MT",46.0635,-114.1304
,"Richland County, MT",30083.0,54.75,36.93,85.93,"Richland County, MT",47.7521,-104.6391
,"Roosevelt County, MT",30085.0,53.67,35.76,85.49,"Roosevelt County, MT",48.2809,-104.9255
,"Rosebud County, MT",30087.0,58.21,39.89,85.95,"Rosebud County, MT",46.0242,-106.5653
,"Sanders County, MT",30089.0,51.44,35.0,82.26,"Sanders County, MT",47.6957,-115.1536
,"Sheridan County, MT",30091.0,52.63,34.35,85.41,"Sheridan County, MT",48.6974,-104.5431
,"Silver Bow County, MT",30093.0,47.66,31.46,80.44,"Silver Bow County, MT",45.9061,-112.6901
,"Stillwater County, MT",30095.0,53.89,37.28,83.97,"Stillwater County, MT",45.6523,-109.213
,"Sweet Grass County, MT",30097.0,50.67,35.42,82.44,"Sweet Grass County, MT",45.701,-109.8912
,"Teton County, MT",30099.0,51.69,35.39,83.06,"Teton County, MT",47.8179,-112.1627
,"Toole County, MT",30101.0,53.59,36.68,83.31,"Toole County, MT",48.6175,-111.7313
,"Treasure County, MT",30103.0,58.91,40.55,86.18,"Treasure County, MT",46.1715,-107.2369
,"Valley County, MT",30105.0,54.08,36.78,85.12,"Valley County, MT",48.3347,-106.5325
,"Wheatland County, MT",30107.0,53.26,37.42,82.52,"Wheatland County, MT",46.4874,-109.8421
,"Wibaux County, MT",30109.0,54.93,36.53,85.84,"Wibaux County, MT",47.0207,-104.1863
,"Yellowstone County, MT",30111.0,58.93,41.0,85.65,"Yellowstone County, MT",45.9727,-108.3601
,"Yellowstone National Park, MT",30113.0,44.19,28.08,80.24,"Yellowstone National Park, MT",,
,"Adams County, NE",31001.0,63.07,43.05,90.58,"Adams County, NE",40.5222,-98.5011
,"Antelope County, NE",31003.0,59.63,40.59,89.89,"Antelope County, NE",42.1782,-98.0677
,"Arthur County, NE",31005.0,60.76,41.06,86.8,"Arthur County, NE",41.5697,-101.6961
,"Banner County, NE",31007.0,61.2,41.55,85.41,"Banner County, NE",41.5476,-103.71
,"Blaine County, NE",31009.0,60.38,40.45,88.64,"Blaine County, NE",41.913,-99.9765
,"Boone County, NE",31011.0,60.28,40.94,90.08,"Boone County, NE",41.6949,-98.0609
,"Box Butte County, NE",31013.0,60.29,39.8,86.02,"Box Butte County, NE",42.2162,-103.094
